Word,Count
loading,14
desired,14
Disable,14
Usage,14
scaling,14
automatically,14
32-bit,13
SDL2_test,13
layout,13
minimum,13
power,13
above,13
explicitly,13
policy,13
image,13
palette,13
SDL_LockAudio(),13
\set,\,13
can't,13
libraries,13
particular,13
milliseconds,13
\function,\,13
fullscreen,13
joysticks,13
actual,13
Generated,13
\-1,\,13
See,13
implemented,13
boolean,12
contents,12
\1,\,12
level,12
struct,12
safe,12
Level,12
queued,12
locked,12
over,12
unregistered,12
interval,12
details,12
Phone,12
determine,12
requested,12
\a,12
blue,12
prototype,12
Should,12
Called,12
status,12
shaped,12
Time,12
hardware,12
multiple,12
There,12
USB,12
app's,12
take,12
raw,12
failure,12
table,12
useful,12
h,12
1997-2017,12
via,12
void,12
\20,\,12
processing,12
disable,12
w,12
fade,12
threads,12
title,12
\channels,\,12
rumble,12
single,12
common,12
previous,12
handling,12
16,12
check,11
red,11
All,11
Studio,11
access,11
dynamic,11
running,11
linked,11
because,11
macros,11
Game,11
triggered,11
waiting,11
fast,11
attack,11
privacy,11
storage,11
dynamically,11
registered,11
negative,11
play,11
triggers,11
Open,11
added,11
!<,11
runtime,11
those,11
etc),11
local,11
#define,11
loop,11
found,11
surfaces,11
page,11
Please,11
category,11
process,11
RGB,11
precision,11
allow,11
\structure,\,11
provides,11
modes,11
green,11
controllers,11
reuse,11
below,11
means,11
written,11
mutex,11
!!,10
address,10
reserved,10
\fails),\,10
manager,10
Uint16,10
low,10
battery,10
\buffer,\,10
nanoseconds,10
stub,10
shape,10
consider,10
assertions,10
registers,10
know,10
passing,10
enum,10
domain,10
-------------------------------------------------------------------------,10
Source,10
\channel,\,10
clip,10
:,10
freed,10
least,10
template,10
</td><td>,10
SDL_Window,10
\functions,\,10
routines,10
names,10
\callback,\,10
gamma,10
write,10
previously,10
encoding,10
EGL,10
stereo,10
border,10
behavior,10
handler,10
Definition,10
(distance),10
acceleration,10
tag,10
Effect,10
include,10
--,10
handled,10
max,10
starting,10
\layout,\,10
colorkey,10
away,10
Button,10
line,10
necessary,10
->,10
applications,9
unless,9
scancode,9
define,9
As,9
we're,9
keyboards,9
blending,9
constant,9
16-bit,9
sending,9
Free,9
future,9
\name,\,9
initialize,9
directly,9
dstA,9
$Revision:,9
\it,\,9
identifier,9
GL,9
formats,9
loader,9
several,9
provide,9
\this,\,9
Gets,9
again,9
calls,9
How,9
immediately,9
later,9
__,9
creation,9
\rectangle,\,9
basic,9
Upper,9
generator,9
SDL's,9
second,9
normal,9
comparison,9
cannot,9
failed,9
Condition,9
hidden,9
wait,9
appropriate,9
probably,9
Initialize,9
positive,9
cause,9
SDL_Init(),9
specifies,9
subsystem,9
UI,9
\inclusive,\,9
Types,9
\example,\,9
gets,9
desktop,9
high,9
hints,9
(and,9
\devices,\,9
swapped,9
AND,9
try,9
Log,9
successfully,9
System,9
space,9
performed,9
compatibility,9
4,9
specifying,9
Not,9
simulates,8
char,8
empty,8
(channel),8
ISO,8
\boundary2,\,8
\value,\,8
upper,8
\-10,\,8
SDL_free(),8
Lower,8
tile,8
ramp,8
won't,8
\true,\,8
Must,8
64-bit,8
callbacks,8
subsystems,8
Sets,8
handles,8
Close,8
real,8
);,8
Direction,8
Inc,8
every,8
quality,8
non-valid,8
\99,\,8
doing,8
filesystem,8
fading,8
19,8
reset,8
differ,8
Functions,8
during,8
Random,8
Draw,8
mono,8
retrieve,8
Gesture,8
grid,8
work,8
portions,8
high-DPI,8
>,8
logical,8
gain,8
bounds),8
global,8
closed,8
examples:,8
bug,8
Flags,8
ignored,8
describing,8
grab,8
\warning,8
contains,8
command,8
boundary2,8
existing,8
initializes,8
&&,8
20,8
listener,8
SDL_WaitThread(),8
enough,8
finished,8
public,8
now,8
program,8
\pixels,\,8
SDL_HapticEffect,8
(=within,8
\posteffect,\,8
images,8
updates,8
SDL_image,8
hat,8
apps,8
Using,8
SDL_TRUE),8
2.0,8
mappings,8
\device,\,8
\default,\,8
sets,8
example,8
directory,8
external,8
multiplied,8
Boundaries,8
vertical,8
limitation,8
_MSC_VER,8
indices,8
e.g,8
(e.g,8
panning,8
1.1,8
Data,8
X11,8
back-button-press,8
examples,8
submit,8
strength,8
\boundaries,\,8
initialization,7
\MERCHANTABILITY,\,7
visible,7
Periodic,7
stored,7
KHRONOS_SUPPORT_INT64,7
\IS"\,\,7
upon,7
WHETHER,7
\LIABILITY,\,7
furnished,7
pending,7
UK,7
modified,7
KHRONOS_APICALL,7
whom,7
creating,7
ARISING,7
TO,7
\copy,\,7
\modify,\,7
\zero,\,7
PARTICULAR,7
font,7
screensaver,7
ANGLE,7
amount,7
\IMPLIED,\,7
top,7
needed,7
signal,7
unique,7
dstRGB,7
Your,7
\distribute,\,7
non-zero,7
..,7
person,7
Trigger,7
\so,\,7
SHALL,7
\thread,\,7
refers,7
makes,7
viewport,7
WITH,7
(for,7
produce,7
EXPRESS,7
EVENT,7
soon,7
0;,7
SDL_GetWindowSize(),7
implementation,7
how,7
DAMAGES,7
-0700,7
(not,7
together,7
closest,7
\merge,\,7
rows,7
OUT,7
\|,7
supply,7
timeout,7
mode:,7
allows,7
AN,7
swap,7
successful,7
USE,7
editing,7
permit,7
resampling,7
\"\AS\,7
configured,7
7,7
Win32,7
&,7
NO,7
once,7
\publish,\,7
LIABLE,7
FIXME:,7
Surface,7
PSP,7
component,7
identify,7
BE,7
execution,7
structures,7
FR,7
TORT,7
Keyboard,7
We'll,7
PROVIDED,7
\platforms,\,7
you've,7
256,7
WARRANTY,7
rights,7
\li,7
reference,7
actually,7
3D,7
\joystick,\,7
WITHOUT,7
further,7
controls,7
copyright,7
2D,7
substantial,7
rate,7
\above,\,7
AUTHORS,7
translation,7
BUT,7
down,7
colors,7
mdContext,7
were,7
hereby,7
permission,7
keys,7
absolute,7
LIMITED,7
COPYRIGHT,7
RLE,7
info,7
\KIND,\,7
frame,7
FL,7
GCC,7
another,7
CONNECTION,7
NONINFRINGEMENT,7
store,7
\mode,\,7
ACTION,7
scale,7
certain,7
INCLUDING,7
performs,7
DEALINGS,7
Once,7
Read-only,7
Replay,7
packing,7
care,7
\restriction,\,7
\sublicense,\,7
correct,7
obtaining,7
WARRANTIES,7
digest,7
/|,7
deal,7
),7
\granted,\,7
release,7
sell,7
operation,7
contain,7
\CLAIM,\,7
pressed,7
side,7
register,7
\FROM,\,7
PURPOSE,7
default),7
\supported,\,7
\charge,\,7
remove,7
way,7
\OTHERWISE,\,7
conditions:,7
#include,7
shall,7
persons,7
KHRONOS_APIENTRY,7
look,7
\CONTRACT,\,7
HOLDERS,7
_nomatch_^,7
Normalized,7
limited,7
>0,7
FITNESS,7
extra,6
srcA,6
French,6
management,6
matches,6
Tell,6
Some,6
opacity,6
distance,6
DLL,6
Adopters,6
\path,\,6
\haptic,\,6
blits,6
They,6
SDL_AudioStreamPut,6
SDL_FreeAudioStream,6
Group,6
Wait,6
Convenience,6
*-------------------------------------------------------------------------,6
echo,6
goes,6
integers,6
encoded,6
Destroy,6
\equal,\,6
SDL_AudioStreamAvailable,6
lines,6
SDL_AudioStreamClear,6
Define,6
SDL_HapticDirection,6
10,6
parent,6
environment,6
Checks,6
functionality,6
Software,6
'ticks',6
\focus,\,6
DO,6
\efficiency,\,6
arbitrary,6
this:,6
threading,6
factor,6
implicitly,6
changed,6
bar,6
Unadjusted,6
follows,6
expansion,6
times,6
User,6
fail,6
::SDL_WINDOWPOS_UNDEFINED,6
remain,6
While,6
yet,6
many,6
SDL_NewAudioStream,6
Posteffects,6
element,6
RGBA,6
8-bit,6
made,6
Versions,6
<,6
blendMode,6
\Materials,\,6
camera,6
represent,6
locking,6
causes,6
Mix_SetPanning(),6
Apple,6
included:,6
|\,6
Used,6
We,6
wasn't,6
full,6
(or,6
vendor,6
long,6
works,6
copied,6
frequency,6
applies,6
(a,6
results,6
SDL_AudioStreamFlush,6
SDL_HapticCondition,6
close,6
Custom,6
chunk's,6
-32768,6
autocenter,6
character,6
family,6
location,6
g,6
(c),6
callback;,6
objects,6
Delay,6
convert,6
i,6
matching,6
dir,6
considered,6
pointers,6
allowed,6
configuration,6
0x0C,6
plane,6
Make,6
\endverbatim,6
\verbatim,6
becomes,6
US,6
ARE,6
\events,\,6
pointed,6
revision,6
become,6
runs,6
b,6
Controller,6
SDL_SRCCOLORKEY,6
r,6
representation,6
\queue,\,6
configure,6
general,6
double,6
saved,6
around,6
feature,6
EVER,6
result,6
Finds,6
Fill,6
\"\Materials"\),\,6
Bugzilla,6
SDL_HapticOpen,6
(angle),6
argument,6
build,6
enumerated,6
B,6
|/,6
SDL_Quit(),6
ascii,6
union,6
SDL_AudioStreamGet,6
EGL_KHR_stream,6
avoid,6
convenience,6
seed,6
occurs,6
base,6
guarantee,6
$Date:,6
Read,6
released,6
Ramp,5
(default),5
|__|,5
Envelope,5
Calculate,5
proper,5
WinRT:,5
three,5
orientation,5
X.Y.Z,5
Printable,5
usually,5
evaluate,5
::SDL_QUIT,5
application's,5
class,5
gamecontroller,5
transparent,5
document,5
active,5
\type,\,5
fit,5
\audio,\,5
world,5
Will,5
turn,5
\file,\,5
After,5
format:,5
positioning,5
:),5
Identifier,5
large,5
<tr><td>,5
SDL_DestroyWindow(),5
precise,5
Individual,5
-1;,5
Reset,5
\format,\,5
semaphore,5
errors,5
PATCHLEVEL,5
userdata,5
limits,5
\key,\,5
SDL_HapticRunEffect,5
meant,5
indicating,5
\internally,\,5
Try,5
depth,5
15,5
ACCENT,5
5,5
stuff,5
Thread,5
human-readable,5
seekable,5
(using,5
\pressed,\,5
corner,5
played,5
changing,5
SDL_HapticQuery,5
To,5
Number,5
working,5
\in,\,5
mod,5
linking,5
Unicode,5
CRC,5
delay,5
attribute,5
guaranteed,5
Always,5
rotated,5
\flag,\,5
detached,5
directions,5
Defines,5
Update,5
per,5
Copy,5
TV,5
you're,5
coord,5
exact,5
ms,5
larger,5
reporting,5
SDL_WINDOW_VULKAN,5
May,5
cases,5
arrow,5
GL_OES_EGL_image,5
reason,5
opening,5
XInput,5
scaled,5
\MINOR,\,5
complete,5
alignment,5
good,5
locks,5
system-specific,5
minor,5
spin,5
\"\2"\\,5
relation,5
corresponding,5
small,5
\initialized,\,5
endianness,5
/\,5
</td></tr>,5
\MAJOR,\,5
pattern,5
box,5
SDL_WINDOW_ALLOW_HIGHDPI,5
under,5
21,5
ANSI,5
padding,5
Message,5
block,5
waves,5
barrier,5
inside,5
representing,5
filtered,5
\enabled,\,5
\Windows,\,5
GUID,5
\one,\,5
very,5
Uint32,5
treated,5
returning,5
behaviour,5
Metal,5
background,5
form,5
32767,5
settings,5
value),5
Touch,5
len,5
SDL_version,5
hold,5
Packed,5
SDL_AudioCVT,5
quit,5
else,5
(i.e,5
blitting,5
checked,5
period,5
\surface,\,5
dstrect,5
YUV,5
pitch,5
convention,5
OR'd,5
\"\%d.%d.%d"\,\,5
refresh,5
pointing,5
Check,5
modulation,5
normally,5
Loads,5
::SDL_HAPTIC_INFINITY,5
sense,5
\position,\,5
\TODO,\,5
Direct3D,5
APIs,5
\memory,\,5
note,5
no-op,5
naming,5
manually,5
lets,5
drawable,5
pCount,5
games,5
user-defined,5
Calling,5
center,5
SDL_SetWindowDisplayMode(),5
aren't,5
Call,5
\bits,\,5
hit,5
item,5
main(),5
per-surface,5
separate,5
shown,5
icon,5
compiling,5
binding,5
SDL_HapticPeriodic,5
fire,5
there's,5
Constant,5
located,5
accelerometer,5
floating,5
(http://khronos.org/bugzilla),4
closing,4
require,4
TODO:,4
itself,4
clipboard,4
SDL_CreateRenderer(),4
track,4
\11,\,4
--ryan,4
attempt,4
encodings,4
SDL_Vulkan_LoadLibrary(),4
Values,4
save,4
standard,4
stopped,4
\say,\,4
khrplatform.h:,4
endian,4
except,4
\event,\,4
1.0f,4
silence,4
ASCII,4
sampling,4
entries,4
non-callback,4
Buffer,4
resizable,4
\target,\,4
Generates,4
i.e,4
semantics,4
override,4
brightness,4
initializing,4
General,4
hide,4
SDL_HapticDestroyEffect,4
cutoff,4
Mix_OpenAudio(),4
plugged,4
affect,4
region,4
cell,4
cartesian,4
-9,4
Since,4
compilers,4
<=,4
(if,4
Platform,4
OpenAL,4
variables,4
SDL_RenderSetLogicalSize(),4
Additional,4
(as,4
flip,4
synchronized,4
interface,4
prepares,4
degrees),4
remote,4
MikMod,4
\unregistered,\,4
disables,4
Only,4
intervals,4
processed,4
Query,4
sent,4
read-only,4
bitmap,4
SDL_OpenAudio(),4
\music,\,4
compile,4
starts,4
speed,4
place,4
null-terminated,4
represents,4
SDL_HINT_WINRT_HANDLE_BACK_BUTTON,4
\explicitly,\,4
planes),4
XRandR,4
Find,4
suit,4
\width,\,4
__GNUC__,4
alpha),4
srcrect,4
accelerate,4
\/,4
\order,\,4
dialog,4
break,4
supported;,4
KHRONOS_TRUE,4
LFE,4
SDL_GL_GetProcAddress(),4
keep,4
modal,4
converted,4
\stream,\,4
attenuation,4
categories,4
compatible,4
following:,4
encapsulate,4
interpreted,4
Left/Right,4
clockwise,4
hit-testing,4
(,4
RTL,4
speakers,4
Points,4
\successful,\,4
match,4
additive,4
\non-zero,\,4
\hint,\,4
Common,4
things,4
applied,4
SDL_RWop,4
BL,4
\channel),\,4
\processing,\,4
*-----------------------------------------------------------------------,4
whatever,4
dummy,4
(NULL,4
Double,4
option,4
\found,\,4
Unloads,4
TILDE,4
couldn't,4
handle_error();,4
application-supplied,4
computation,4
khrplatform.h,4
big-endian,4
\opened,\,4
had,4
Event,4
Swiss,4
lower,4
requests,4
reading,4
Useful,4
Write,4
detection,4
action,4
Xinerama,4
'tag',4
2000,4
arg,4
indicate,4
less,4
buffers,4
Planar,4
bottom,4
[in],4
queueing,4
-101,4
dev,4
unsupported,4
although,4
\coordinate,\,4
dequeue,4
\no-op,\,4
\German,\,4
*********************************************************************,4
preferred,4
SDL_Renderer,4
install,4
SDL_GetNumVideoDisplays(),4
Pause/Resume,4
calculated,4
\cycles,\,4
Spaces,4
interactive,4
fills,4
Causes,4
\driver,\,4
SDL_EventState(),4
German,4
shaders,4
undefined,4
'loops',4
newly,4
\left,\,4
predefined,4
Enumerated,4
#undef,4
receive,4
named,4
Reserved,4
thus,4
(flip),4
equivalent,4
loads,4
arguments,4
Debug,4
player,4
SDL_BLENDMODE_NONE:,4
KHRONOS_APIATTRIBUTES,4
fallthrough,4
tests,4
::SDL_RELEASED,4
LLP64,4
\"\3D"\\,4
\number,\,4
handy,4
delivered,4
exclusively,4
pause,4
***********************************************************************,4
paths,4
i++),4
Test,4
SDL_CreateWindow(),4
Files,4
SDL_syswm.h,4
rest,4
\application,\,4
completely,4
middle,4
Uses,4
Most,4
vsync,4
(==,4
\user,\,4
Save,4
filing,4
yourself,4
failures,4
(default,4
finally,4
set),4
phase,4
alpha-blend,4
listed,4
generates,4
shape_mode,4
users,4
(set,4
positional,4
assembly,4
reversing,4
clicks,4
converted/resampled,4
outside,4
\types,\,4
centered,4
retrace,4
builds,4
C/C++,4
Object,4
\keyboards,\,4
\"\Registry"\\,4
==,4
aligned,4
\Mix_HaltChannel(),\,4
registering,4
unchanged,4
possibly,4
SDL_GetWindowFlags(),4
\10,\,4
\-11,\,4
assume,4
Index,4
Definitions,4
textures,4
expiration,4
expect,4
\height,\,4
device_index,4
as:,4
encouraged,4
old,4
(stream),4
unregisters,4
String,4
finishes,4
others,4
paused,4
::SDL_PRESSED,4
promise,4
deallocated,4
U,4
iterations,4
\though,\,4
Dollar,4
components,4
opaque,4
FC,4
leak,4
properties,4
0-128,4
layer,4
<KHR/khrplatform.h>,4
shouldn't,4
Seek,4
Displaced,4
\bitmask,\,4
allocate,4
correctly,4
modifications,4
total,4
APK,4
south,4
buttons,4
silent,4
periodic,4
\input,\,4
windows.h,4
towards,4
Grid_Camera::Grid_Camera,4
GRAVE,4
SDL_BLENDMODE_BLEND:,4
capabilities,4
ones,4
off,4
4-byte,4
V,4
priorities,4
gesture,4
his,4
\volume,\,4
permitted,4
well,4
_NET_WM_BYPASS_COMPOSITOR,4
entry,4
Dynamically,4
manner,4
identifiers,4
having,4
\::SDL_WINDOWPOS_CENTERED,\,4
precedes,4
indicator,4
.*,4
compile-time,4
hasn't,4
unregister,4
spatialized,4
Halt,4
destroy,3
SDL_SetWindowGrab(),3
Newly,3
c,3
\"\1"\,\,3
completes,3
resource,3
reached,3
find,3
SDL_GetQueuedAudioSize,3
debugger,3
SDL_HapticRumbleStop,3
javascript,3
dst,3
\OK,\,3
wheel,3
Stops,3
timestamp,3
licensed,3
wraps,3
direction.dir[0],3
major,3
body,3
watch,3
appear,3
http://oss.sgi.com/projects/FreeB/,3
REMOVED,3
Unlock,3
fuzzer,3
unused,3
SDL_TEXTEDITING,3
subtle,3
here:,3
SDL_Window*,3
<inttypes.h>,3
\added,\,3
$Date::,3
Can,3
be:,3
drag,3
!HAVE_STDINT_H,3
velocity,3
trackball,3
SDL_QueueAudio(),3
Creates,3
writing,3
reported,3
polar,3
http://www.opengl.org/registry/,3
\that,\,3
reads,3
\details,\,3
XML,3
126,3
sine,3
Registry,3
BR,3
captured,3
expected,3
ignoring,3
GL_OES_texture_half_float,3
respectively,3
\resampling,\,3
properly,3
obtained,3
fields,3
\however,\,3
\windows,\,3
autocentering,3
Z,3
Returned,3
\block,\,3
portion,3
alarm,3
caller's,3
\case,\,3
beginning,3
considered:,3
asm),3
\1-srcA,\,3
tileset,3
Alt+F4,3
largest,3
Remove,3
Length,3
Count,3
\grabbed,\,3
Based,3
atomically,3
platform-specific,3
increase,3
Produces,3
::SDL_HAPTIC_LEFTRIGHT,3
stack,3
GL_NV_fence,3
Retrieve,3
fallback,3
cvt,3
latency,3
content,3
installed,3
past,3
Display,3
codes,3
typedefs..,3
maximized,3
SOFTWARE,3
::SDL_MUTEX_TIMEDOUT,3
Program,3
Name,3
looks,3
greater,3
\to,\,3
rotation,3
SDL_main.h,3
\controller,\,3
\succeeded,\,3
\axis,\,3
UIKit,3
efficient,3
occurred,3
\quality,\,3
clear,3
1.3,3
WinCE,3
quantities,3
\available,\,3
MD5,3
Wayland,3
device:,3
filters,3
saving,3
uniquely,3
non-NULL,3
term,3
SDL_GetNumDisplayModes(),3
faster,3
affecting,3
SDL2.DLL,3
\system,\,3
(src/haptic/dummy/\*.c),3
mix,3
Specified,3
foreground,3
implies,3
Macros,3
(with,3
primitives,3
::SDL_HAPTIC_RAMP,3
Signed,3
resized,3
Texture,3
Version,3
void*,3
(USB,3
(increments,3
much,3
180,3
SDL_LockSurface(),3
numeric,3
GL_EXT_debug_label,3
SDL_gamecontroller.h,3
ranging,3
loses,3
INFO,3
problem,3
URL,3
inline,3
summary,3
(Win64,3
SDL_RWops,3
separately,3
identical,3
(len),3
\dstA,\,3
dimensions,3
movement,3
...which,3
Settings,3
string;,3
unpause,3
SDL_HapticNewEffect,3
giving,3
pad,3
\::SDL_QUERY,\,3
SDL_ClearQueuedAudio,3
prevent,3
parts,3
(including,3
__arch64__,3
WAVE,3
Polar,3
SDL_StartTextInput(),3
Stop,3
increases,3
suite,3
Plugged,3
Microsoft,3
128,3
directfb,3
LINE,3
activate,3
FIXME,3
\frequency,\,3
(in,3
ends,3
flush,3
menu,3
Effects,3
rules,3
targets,3
N'th,3
startup,3
!_MSC_VER,3
infinite,3
End,3
Good,3
SDL_CreateThread(),3
unlike,3
conflicts,3
GL_EXT_debug_marker,3
emitted:,3
removed:,3
ball,3
\playing,\,3
switch,3
BMP,3
Unload,3
cells,3
SDL_BUTTON(X),3
refer,3
SDL_WINDOW_OPENGL,3
SDL_HapticRumbleSupported,3
2008,3
across,3
2:,3
SGI,3
on-screen,3
driver-specific,3
SDL_GetWindowDisplayMode(),3
\too,\,3
Surfaces,3
Avoid,3
Callback,3
ABI,3
\Registry,\,3
API:,3
longer,3
libvulkan,3
Pixel,3
32767),3
samples!),3
actions,3
enter,3
Strength,3
insert,3
SDL_RaiseWindow(),3
GL_EXT_texture_filter_anisotropic,3
tested,3
NUMBER,3
\code,\,3
Uint8,3
intrin.h,3
higher,3
connection,3
SDL_HINT_WINRT_PRIVACY_POLICY_URL,3
SDL_HapticOpenFromJoystick,3
(1,3
Assert,3
whose,3
enumeration,3
gave,3
attack_length,3
Extensions,3
\ID,\,3
reverses,3
indicates,3
SDL_EnableScreenSaver(),3
Play,3
recognized,3
\internal,3
is:,3
pNames,3
cardinal,3
careful,3
6,3
scripts,3
SDL_FreeCursor(),3
\len,\,3
fade_level,3
XVidMode,3
(stereo),3
cache,3
\cases,\,3
\platform,\,3
\encoding,\,3
org,3
SDL_HapticRumblePlay,3
takes,3
<stdint.h>,3
varies,3
feedback,3
SOLIDUS,3
Microsoft's,3
\OpenGL,\,3
Clear,3
definition,3
SDL_HapticClose,3
page),3
crcContext,3
occur,3
determines,3
\north,\,3
for:,3
ordering,3
managed,3
REVERSE,3
0x406D1388,3
depending,3
difference,3
warning,3
\identifier,\,3
SDL_GL_LoadLibrary(),3
direction.type,3
language,3
::SDL_HAPTIC_CUSTOM,3
9,3
SDL_TOUCH_MOUSEID,3
building,3
tile_h,3
Default,3
thread-safe,3
SIGINT,3
CPUs,3
\header,\,3
requirements,3
\ms,\,3
angle,3
\id,\,3
recommended,3
looking,3
0...1,3
show,3
\intersection,\,3
GL_APPLE_rgb_422,3
everything,3
half,3
underlying,3
dead,3
accessing,3
shift,3
Begin,3
\be,\,3
drawn,3
SDL_GetDisplayMode(),3
due,3
POV,3
minimized,3
_NET_WM_PING,3
\extensions,\,3
VERTICAL,3
\1-dstA,\,3
logs,3
Win64-compatible,3
usable,3
attributes,3
surround),3
property,3
maxLength,3
SIGTERM,3
SDL_HapticRumbleInit,3
analysis,3
iPhone,3
!__GNUC__,3
sequence,3
Convert,3
above),3
closes,3
physics,3
Fade,3
